epicId,name,contactNo,houseNo,caste,age,partyInclination
ISP4554684,Arvind Yadav,+91 4012345721,41,Yadav,33,BJP
ISP4554685,Rani Singh,+91 4023456723,55,Rajput,40,Congress
ISP4554686,Suresh Kumar,+91 4034567834,12,Brahmin,28,AAP
ISP4554687,Meera Patel,+91 4045678945,32,Patel,30,BJP
ISP4554688,Sanjay Sharma,+91 4056789456,51,Sharma,47,INC
ISP4554689,Nisha Rani,+91 4067890543,23,Gupta,25,BJP
ISP4554690,Ajay Verma,+91 4078901265,29,Brahmin,35,AAP
ISP4554691,Rohit Kumar,+91 4089012356,37,Thakur,33,Congress
ISP4554692,Preeti Devi,+91 4090123456,45,Chaudhary,50,INC
ISP4554693,Vikram Singh,+91 4101234567,10,Patel,32,BJP
ISP4554694,Anjali Soni,+91 4112345678,22,Gupta,26,AAP
ISP4554695,Sachin Reddy,+91 4123456789,50,Reddy,40,Congress
ISP4554696,Shalini Yadav,+91 4134567890,35,Yadav,29,INC
ISP4554697,Amit Kumar,+91 4145678901,41,Sharma,36,BJP
ISP4554698,Rita Verma,+91 4156789012,31,Chaudhary,29,AAP
ISP4554699,Deepak Kumar,+91 4167890123,25,Gupta,32,INC
ISP4554700,Kavita Singh,+91 4178901234,15,Thakur,22,Congress
ISP4554701,Manish Kumar,+91 4189012345,29,Rajput,34,BJP
ISP4554702,Sunita Devi,+91 4190123456,43,Gupta,46,AAP
ISP4554703,Raghav Sharma,+91 4201234567,20,Sharma,26,BJP
ISP4554704,Meenal Rani,+91 4212345678,33,Yadav,28,Congress
ISP4554705,Kiran Patel,+91 4223456789,12,Patel,30,INC
ISP4554706,Ravi Kumar,+91 4234567890,31,Brahmin,36,AAP
ISP4554707,Seema Devi,+91 4245678901,21,Chaudhary,25,BJP
ISP4554708,Rajiv Kumar,+91 4256789012,22,Thakur,27,Congress
ISP4554709,Rekha Yadav,+91 4267890123,45,Yadav,40,INC
ISP4554710,Gaurav Sharma,+91 4278901234,32,Sharma,34,BJP
ISP4554711,Alok Kumar,+91 4289012345,11,Gupta,29,AAP
ISP4554712,Sonia Soni,+91 4290123456,33,Rajput,36,BJP
ISP4554713,Pradeep Reddy,+91 4301234567,21,Reddy,30,Congress
ISP4554714,Neelam Devi,+91 4312345678,42,Chaudhary,48,INC
ISP4554715,Vikram Patel,+91 4323456789,51,Patel,52,AAP
ISP4554716,Arun Kumar,+91 4334567890,20,Brahmin,26,BJP
ISP4554717,Nidhi Gupta,+91 4345678901,19,Gupta,24,Congress
ISP4554718,Sushil Yadav,+91 4356789012,44,Yadav,39,INC
ISP4554719,Priya Sharma,+91 4367890123,40,Sharma,41,BJP
ISP4554720,Kamal Patel,+91 4378901234,34,Thakur,37,AAP
ISP4554721,Sheetal Kumar,+91 4389012345,21,Rajput,26,Congress
ISP4554722,Pooja Soni,+91 4390123456,25,Gupta,31,INC
ISP4554723,Anil Verma,+91 4401234567,50,Brahmin,45,BJP
ISP4554724,Sakshi Devi,+91 4412345678,29,Yadav,28,AAP
ISP4554725,Dinesh Reddy,+91 4423456789,12,Reddy,30,Congress
ISP4554726,Sunil Kumar,+91 4434567890,43,Chaudhary,47,INC
ISP4554727,Rekha Gupta,+91 4445678901,36,Gupta,32,BJP
ISP4554728,Rupal Patel,+91 4456789012,22,Patel,26,AAP
ISP4554729,Rakesh Kumar,+91 4467890123,23,Brahmin,25,Congress
ISP4554730,Jaya Sharma,+91 4478901234,50,Sharma,41,BJP
ISP4554731,Vikram Yadav,+91 4489012345,24,Yadav,30,INC
ISP4554732,Kavita Gupta,+91 4490123456,45,Gupta,39,AAP
ISP4554733,Parveen Soni,+91 4501234567,10,Rajput,26,BJP
ISP4554734,Meenal Devi,+91 4512345678,42,Chaudhary,45,Congress
ISP4554735,Jagdish Kumar,+91 4523456789,51,Thakur,44,INC
ISP4554736,Priti Yadav,+91 4534567890,38,Yadav,31,BJP
ISP4554737,Nitin Verma,+91 4545678901,15,Gupta,22,AAP
ISP4554738,Sunita Soni,+91 4556789012,39,Sharma,35,Congress
